,name,role,team,minutes_played,matchesPlayed,matchesPlayed,matchesPlayed,matchesPlayed,matchesPlayedTeam,matchesPlayedTeam,matchesPlayedTeam,matchesPlayedTeam,mapsPlayed,mapsPlayed,mapsPlayed,mapsPlayed,mapsPlayedTeam,mapsPlayedTeam,mapsPlayedTeam,mapsPlayedTeam,points10m,totalPoints,eliminations_avg_per_10m,healing_avg_per_10m,hero_damage_avg_per_10m,ultimates_earned_avg_per_10m,deaths_avg_per_10m,final_blows_avg_per_10m,player,fantasyTeam
68,SWON,tank,FLA,276.3776547600826,5,5,5,5,5,5,5,5,22,22,22,22,22,22,22,22,15.499073783785555,428.3597663316131,17.04189871677089,0.0,6978.1244254001085,3.8715141458481646,6.3680980342923075,5.282626778447028,FreeAgent,FreeAgent
69,TVIQ,offense,FLA,212.8027717510859,5,5,5,5,5,5,5,5,16,16,16,16,22,22,22,22,22.17562572706349,471.90346200338,19.172682603835398,6529.7602766176215,6059.5241485281695,4.6991869127047545,4.746178781831802,4.6991869127047545,TVIQ,Bobble
70,XEPHER,tank,FLA,204.6436182121436,5,5,5,5,5,5,5,5,15,15,15,15,22,22,22,22,16.6088765871756,339.89005992385745,19.839367752925504,32.634087802779874,6656.558622910071,3.5183115226862967,4.544485716803132,7.183219358817855,XEPHER,Overdrive
71,ARCHITECT,offense,SFS,186.56952815651894,4,4,4,4,5,5,5,5,13,13,13,13,21,21,21,21,21.328809886377343,397.9305996641517,15.222207120647465,8473.734890062495,5243.971435991112,4.82393887626152,4.4487436303300685,3.7519524593145155,FreeAgent,FreeAgent
72,CHOIHYOBIN,tank,SFS,194.3059572339058,5,5,5,5,5,5,5,5,15,15,15,15,21,21,21,21,17.123720946610746,332.72409899374844,20.122903361594503,14.92827339320013,7047.340992420295,3.2937744632788952,3.0364483333352315,6.072896666670463,CHOIHYOBIN,PopeRonPaul
73,MOTH,support,SFS,282.29465018908184,5,5,5,5,5,5,5,5,21,21,21,21,21,21,21,21,18.06438572388745,509.94794488054515,13.461112342918112,7217.930704906149,4115.898847522245,3.471550025278881,3.613245944678019,2.585950529034269,MOTH,Overdrive
74,NEVIX,tank,SFS,88.05357917745908,5,5,5,5,5,5,5,5,6,6,6,6,21,21,21,21,15.0187244354922,132.2452441225052,17.375784315553023,12.723959408604458,6318.108318307082,2.8391804437178148,3.97485262120494,4.542688709948503,FreeAgent,FreeAgent
75,RASCAL,offense,SFS,104.5659905642271,4,4,4,4,5,5,5,5,9,9,9,9,21,21,21,21,23.8380939661455,249.26539087331295,17.309643319337674,9570.254668143225,5613.017638333438,4.781669425231402,4.207869094203634,4.39913587121289,RASCAL,Overdrive
76,SINATRAA,offense,SFS,252.15502009193102,5,5,5,5,5,5,5,5,18,18,18,18,21,21,21,21,23.86665442446043,601.8096725926995,21.098132403076594,253.8628502984307,13063.725372623705,5.472823818843178,3.846839930636146,5.869405254991234,SINATRAA,Dragonbeard
77,SLEEPY,support,SFS,123.64488860666752,2,2,2,2,5,5,5,5,9,9,9,9,21,21,21,21,26.16439276348624,323.5093428702354,14.719573291781485,11039.571140861975,7765.034976733525,5.17611368502206,2.911563947824909,3.477701382124197,SLEEPY,Jyeran
