,deaths_avg_per_10m,eliminations_avg_per_10m,final_blows_avg_per_10m,healing_avg_per_10m,hero_damage_avg_per_10m,name,playerId,role,team,teamId,time_played_total,ultimates_earned_avg_per_10m,Fantasy Team,points10m,minutes_played,totalPoints
111,3.7842791778962908,15.799365567717015,4.257314075133327,10477.629544393938,6540.8333942632635,RYUJEHONG,4105,support,SEO,4409,6342.02680927515,5.108776890159993,Dragonbeard,24.918145722515707,105.7004468212525,263.3859136826992
82,5.780190679807667,17.096338630417044,4.559023634777878,6325.137050156171,6086.4268511646715,LINKZR,4629,offense,HOU,4525,7369.99908131361,4.721845907448517,PopeRonPaul,20.959733216529365,122.8333180218935,257.4553575839996
18,4.551411061418616,13.585272410597991,2.6894701726564554,6458.805631333753,4122.801464665183,BOINK,4625,support,HOU,4525,8700.598444223404,3.6549210038664643,PopeRonPaul,17.37424330129793,145.00997407039006,251.9438570613861
13,4.640764948190007,17.160037831679332,3.4535925195832617,10416.33987074749,8064.487188440917,BEBE,8731,support,HZS,7693,5559.428302884102,5.396238311848847,Cougum,27.060845975028073,92.6571383814017,250.7380550225973
22,4.656227869481738,21.867641601316016,7.316929509185587,20.299247640812027,9811.832649913818,CARPE,4620,offense,PHI,4524,7216.141679883003,4.157346312037266,Cougum,20.765952698212637,120.26902799805005,249.75009464675185
53,4.487101495258358,20.073875110366338,6.533849545727083,75.63689186778457,9490.622810652532,GODSB,8713,offense,HZS,7693,7621.846761465073,4.014775022073268,FreeAgent,19.603197257703485,127.03077935775121,249.0209425549805
30,5.4079643163076785,20.217466597888706,7.737548944870987,15.401772490085428,10014.516994351296,DAFRAN,8711,offense,ATL,7698,7211.586045861244,4.6591692571266154,FreeAgent,20.138652065785735,120.19310076435407,242.0527037001252
8,4.240082506363284,16.960330025453136,3.96943894212733,7944.956526178084,5374.956553682485,ARCHITECT,5715,offense,SFS,4404,6650.813977718353,4.600940592011224,FreeAgent,21.800078092587135,110.84689962863922,241.6471068225503
89,5.723105603822377,17.72094144798013,5.585199444694126,0.0,7651.984555745171,MUMA,4623,tank,HOU,4525,8701.569296002388,4.275090932975751,PopeRonPaul,16.512455279735235,145.02615493337314,239.47378977292774
128,4.153204233353802,15.997527417362793,4.2301154228603535,49.303680289569904,10142.11980752434,SUREFOUR,4144,offense,GLA,4406,7801.205570340157,4.922316128419321,Jyeran,18.19018719649531,130.02009283900261,236.50898280471566
40,4.63480628486974,19.811524903953,5.270956167106762,5280.130643757204,6166.551789977576,ERSTER,8692,offense,ATL,7698,6602.217680573463,4.180413511843294,FreeAgent,21.35244488571128,110.03696134289106,234.95581524652238
132,4.833397269541609,13.493234044136992,2.920177517014722,9458.223528902547,7349.507188741208,UNKOE,3983,support,DAL,4523,5958.541868984699,4.632005716644042,Cougum,23.55434773971225,99.30903114974498,233.9159453395009
90,5.485520856619014,17.118608190483474,3.499383994739716,7719.923982726291,5741.512508123336,MUNCHKIN,4642,offense,SEO,4409,6343.973691761494,4.918053181796357,MattyIce,22.020740586091364,105.73289486269157,232.83166491878035
71,3.281398837080623,19.00948291826016,6.33649430608672,8051.546245674107,8714.680110382797,JJONAK,4653,support,NYE,4403,5302.616616845131,4.1866123093787255,Dragonbeard,26.270967815186985,88.37694361408552,232.17478412902355
117,3.9207123029925,19.21149028466325,6.077104069638375,619.4760255546555,11856.916929807514,SINATRAA,4139,offense,SFS,4404,6121.336671829224,5.09692599389025,Dragonbeard,22.082138097693793,102.02227786382039,225.28700288301704
92,4.988815574444719,17.54400143679726,3.90790553331503,4955.236246012058,4929.306841260167,NEPTUNO,4024,support,PHI,4524,7216.141679883003,3.242730123389067,MattyIce,18.656543805670854,120.26902799805005,224.3804389311075
