,name,role,teamName,matchesPlayed,matchesPlayedTeam,mapsPlayed,mapsPlayedTeam,points,eliminations,damage,healing,player,fantasyTeam
230,NICOGDH,offense,Paris Eternal,2,2,8,8,268.2671888387203,200,76443.73570609093,91823.4531326294,FreeAgent,FreeAgent
232,NOSMITE,tank,Hangzhou Spark,5,5,15,21,288.8982751016617,255,161398.27510166168,0.0,FreeAgent,FreeAgent
235,NOTE,tank,Boston Uprising,4,4,17,17,540.6870564664006,410,335317.3644683957,369.69199800491333,NOTE,Jyeran
238,OGE,tank,Dallas Fuel,4,4,16,16,349.59304132270813,285,207093.04132270813,0.0,FreeAgent,FreeAgent
240,POKO,tank,Philadelphia Fusion,5,5,20,21,608.3218817502856,495,360632.0643288493,189.81742143630981,POKO,Bobble
243,POKPO,tank,Atlanta Reign,3,3,12,13,333.73388214099407,296,185733.88214099407,0.0,POKPO,MattyIce
245,PROFIT,offense,London Spitfire,5,5,21,21,754.4341018756628,504,408306.17327964306,94127.92859601974,PROFIT,Dragonbeard
248,RAPEL,support,Vancouver Titans,1,4,1,17,40.14958587908745,17,19469.193716049194,12180.392163038254,FreeAgent,FreeAgent
249,RASCAL,offense,San Francisco Shock,3,4,5,17,134.77906403279303,88,41134.41867828369,49644.64535450935,RASCAL,Overdrive
251,RAWKUS,support,Houston Outlaws,4,4,18,18,605.9705281510353,293,259358.70833718777,200111.81981384754,RAWKUS,PopeRonPaul
253,REVENGE,support,Hangzhou Spark,5,5,5,21,163.31979397255182,56,76221.58723896742,59098.206733584404,FreeAgent,FreeAgent
256,RIA,tank,Hangzhou Spark,5,5,21,21,542.6581762721836,444,320658.17627218366,0.0,RIA,Cougum
259,RIO,tank,Guangzhou Charge,4,4,19,19,419.5392452835143,381,229039.24528351426,0.0,FreeAgent,FreeAgent
262,ROKY,support,Toronto Defiant,4,4,17,17,492.8511516667604,306,180772.14907884598,159079.00258791447,FreeAgent,FreeAgent
265,SLIME,support,Vancouver Titans,4,4,17,17,453.1140162212849,322,154563.1321284771,137550.88409280777,FreeAgent,FreeAgent
268,SPACE,tank,Los Angeles Valiant,4,4,18,18,569.2175665947943,441,348706.64659519494,10.919999599456787,SPACE,Cougum
271,SPREE,tank,Houston Outlaws,4,4,9,18,221.11043768736718,169,136577.67768892646,32.75999844074249,SPREE,PopeRonPaul
273,STRIKER,offense,San Francisco Shock,2,4,2,17,39.79540372118354,30,24795.40372118354,0.0,FreeAgent,FreeAgent
